Site,CODE,Strata,Species,No.,72CAT_1,72CAT_2,72CAT_3,72CAT_4,72CAT_5,collector,date,weather,Bird72,Arth72,Mam72,Lost72,NonLost72H,TotalPred72H,Survived72H,BirdProp,ArthProp,72CAT_1,72CAT_2,72CAT_3,72CAT_4,72CAT_5
TOM,TOM_SP7,U,Fraxinus_lanuginosa,1,1,1,1,1,1,legi+mata/katka,23/07/2018,partly cloudy,0,0,0,0,5,0,5,0,0,,,,,
TOM,TOM_SP7,U,Fraxinus_lanuginosa,2,1,1,1,1,1,legi+mata/katka,23/07/2018,partly cloudy,0,0,0,0,5,0,5,0,0,,,,,
TOM,TOM_SP7,U,Fraxinus_lanuginosa,4,1,1,1,1,1,legi+mata/katka,23/07/2018,partly cloudy,0,0,0,0,5,0,5,0,0,,,,,
TOM,TOM_SP7,U,Fraxinus_lanuginosa,5,1,1,1,1,Bird,legi+mata/katka,23/07/2018,partly cloudy,1,0,0,0,5,1,4,0.2,0,,,,,1
TOM,TOM_SP7,U,Fraxinus_lanuginosa,6,1,1,Arth,Arth,Arth,legi+mata/katka,23/07/2018,partly cloudy,0,3,0,0,5,3,2,0,0.6,,,,,
TOM,TOM_SP8,U,Betula_maximowiczia,1,1,Bird,snail,1,1,legi+mata/katka,31/08/2018,partly cloudy,1,0,0,1,4,1,3,0.25,0,,1,,,
TOM,TOM_SP8,U,Betula_maximowiczia,3,1,Bird,1,1,1,legi+mata/katka,31/08/2018,partly cloudy,1,0,0,0,5,1,4,0.2,0,,1,,,
TOM,TOM_SP8,U,Betula_maximowiczia,4,1,1,Bird,1,1,legi+mata/katka,31/08/2018,partly cloudy,1,0,0,0,5,1,4,0.2,0,,,1,,
TOM,TOM_SP9,C,Acer_mono,3,1,1,Mam,Mam,Bird,abe+katka/mata,23/07/2018,"nice, sunny",1,0,2,0,5,3,2,0.2,0,,,,,1
TOM,TOM_SP9,C,Acer_mono,5,1,1,1,Mam,Bird,abe+katka/mata,23/07/2018,"nice, sunny",1,0,1,0,5,2,3,0.2,0,,,,,1
TOM,TOM_SP8,U,Betula_maximowiczia,7,1,1,Arth,1,1,legi+mata/katka,31/08/2018,partly cloudy,0,1,0,0,5,1,4,0,0.2,,,,,
TOM,TOM_SP8,U,Betula_maximowiczia,8,1,1,1,1,1,legi+mata/katka,31/08/2018,partly cloudy,0,0,0,0,5,0,5,0,0,,,,,
TOM,TOM_SP9,C,Acer_mono,1,1,1,1,1,Arth,abe+katka/mata,23/07/2018,"nice, sunny",0,1,0,0,5,1,4,0,0.2,,,,,
TOM,TOM_SP9,C,Acer_mono,8,1,1,1,Mam,Bird,abe+katka/mata,23/07/2018,"nice, sunny",1,0,1,0,5,2,3,0.2,0,,,,,1
TOM,TOM_SP9,C,Acer_mono,4,1,1,1,1,1,abe+katka/mata,23/07/2018,"nice, sunny",0,0,0,0,5,0,5,0,0,,,,,
TOM,TOM_SP10,C,Acer_palmatum,1,1,1,Mam,Mam,Bird,abe+katka/mata,23/07/2018,"nice, sunny",1,0,2,0,5,3,2,0.2,0,,,,,1
TOM,TOM_SP10,C,Acer_palmatum,3,1,1,1,Arth,Bird,abe+katka/mata,23/07/2018,"nice, sunny",1,1,0,0,5,2,3,0.2,0.2,,,,,1
TOM,TOM_SP10,C,Acer_palmatum,4,1,1,Mam,Mam,Bird,abe+katka/mata,23/07/2018,"nice, sunny",1,0,2,0,5,3,2,0.2,0,,,,,1
TOM,TOM_SP11,C,Fraxinus_lanuginosa,1,1,1,1,1,Bird,abe+katka/mata,23/07/2018,"nice, sunny",1,0,0,0,5,1,4,0.2,0,,,,,1
TOM,TOM_SP11,C,Fraxinus_lanuginosa,2,1,1,1,Arth,Bird,abe+katka/mata,23/07/2018,"nice, sunny",1,1,0,0,5,2,3,0.2,0.2,,,,,1
TOM,TOM_SP11,C,Fraxinus_lanuginosa,3,1,1,Mam,Mam,Bird,abe+katka/mata,23/07/2018,"nice, sunny",1,0,2,0,5,3,2,0.2,0,,,,,1
TOM,TOM_SP11,C,Fraxinus_lanuginosa,4,1,1,1,1,Bird,abe+katka/mata,23/07/2018,"nice, sunny",1,0,0,0,5,1,4,0.2,0,,,,,1
TOM,TOM_SP11,C,Fraxinus_lanuginosa,8,1,1,1,Arth,Bird,abe+katka/mata,23/07/2018,"nice, sunny",1,1,0,0,5,2,3,0.2,0.2,,,,,1
