(Intercept),Site,Strata,Site:Strata,df,logLik,AICc,delta,weight
-2.9823092532193387,+,+,+,12,-814.941097490825,1654.3191697715658,0,0.999999999999897
-2.5488902899049974,+,+,NA,7,-849.9810394038337,1714.1178507130917,59.798680941525845,1.03485957187017e-13
-2.3259464234171894,+,NA,NA,6,-858.5440901849571,1729.2048470365808,74.88567726501492,5.48001560394568e-17
-1.83174778254883,NA,+,NA,2,-905.4191222171291,1814.8548190198937,160.5356492483279,1.38078700573968e-35
-1.577823868694535,NA,NA,NA,1,-915.3351699148169,1832.675857071013,178.35668729944723,1.86353454421886e-39
