(Intercept),Site,Strata,Site:Strata,df,logLik,AICc,delta,weight
-2.857146110267332,+,+,+,12,-929.3144598507297,1883.0658944913753,0,1
-2.206145232139078,+,NA,NA,6,-1000.434824422864,2012.9863155123946,129.92042102101937,6.13958522114428e-29
-2.228035859146591,+,+,NA,7,-1000.3065736919402,2014.7689192893047,131.7030247979294,2.51797573223844e-29
-1.2276214392663325,NA,NA,NA,1,-1090.7551919178156,2183.5159010770108,300.4500065856355,5.72941163978749e-66
-1.2632430476420002,NA,+,NA,2,-1090.4409290783096,2184.8984327422545,301.8325382508792,2.87010040123228e-66
