contrast,odds.ratio,SE,df,z.ratio,p.value
U KAK / C LAK,1.570512820512815,0.9037537177838352,Inf,0.7844315697215075,0.9997681741234998
U KAK / U TOM,0.7631257631257476,0.2671585681625327,Inf,-0.7721917605031935,0.9998011421604838
U EUC / U TOM,0.7664009809932264,0.268325246897807,Inf,-0.7599016822309503,0.9998300513221505
U DRO / C LAK,1.3963730569947785,0.8335008205062577,Inf,0.5593498090755251,0.9999923101499061
C BUB / C KAK,1.88513513513512,2.31416183009425,Inf,0.5164611794882179,0.9999966437927232
C DRO / U EUC,0.813650793650775,0.33213451415491335,Inf,-0.5051999071392904,0.9999973344611462
C DRO / U KAK,0.8171428571428238,0.3335416258834012,Inf,-0.4947356303715433,0.9999978591968615
C DRO / C LAK,1.2833333333332761,0.7655759149042167,Inf,0.41817072650095155,0.9999996374303575
U DRO / U EUC,0.8853195164075929,0.3618444481103789,Inf,-0.2980225815673584,0.9999999904308932
U DRO / U KAK,0.8891191709844336,0.36337747832876727,Inf,-0.28756004245820993,0.9999999934990857
C DRO / U DRO,0.9190476190476046,0.4024562241520934,Inf,-0.19277514507982102,0.9999999999161591
C BUB / U LAK,1295696.6885146943,817998079.6674159,Inf,0.022293890488161855,1
U BUB / U LAK,3591069.473786107,2267109930.412297,Inf,0.023908616204569726,1
C DRO / U LAK,10044734.328104133,6341429488.440217,Inf,0.02553790485588481,1
U DRO / U LAK,10929503.673066854,6900001001.415538,Inf,0.025671620713969584,1
C EUC / U LAK,38823206.298808254,24509817673.920242,Inf,0.02767940760477303,1
U EUC / U KAK,1.0042918454935441,0.37831113030482516,Inf,0.011369060992811944,1
U EUC / U LAK,12345264.585848134,7793797217.833657,Inf,0.025864561556166968,1
C KAK / U LAK,687322.9745526037,433920400.57165164,Inf,0.02128963141770483,1
U KAK / U LAK,12292507.044883192,7760490391.937996,Inf,0.025857777881041866,1
C LAK / U LAK,7827065.710211363,4941374647.293523,Inf,0.02514275720429099,1
U LAK / C TOM,1.6622070854291517e-8,1.0493824704510259e-5,Inf,-0.028373202838556814,1
U LAK / U TOM,6.208056341471867e-8,3.919262380484581e-5,Inf,-0.02628598127122273,1
