contrast,odds.ratio,SE,df,z.ratio,p.value
U BUB / C KAK,3.358747993571563,1.067322104329047,Inf,3.8126752224312472,0.007630098282759179
C BUB / U BUB,0.34076576576593587,0.1011847061865865,Inf,-3.625595079838627,0.015208177530528943
C EUC / U EUC,1.807347859812445,0.3182778929096308,Inf,3.360892577291548,0.03732493776075352
C EUC / C LAK,2.204498977505081,0.5343957131369622,Inf,3.2609861502327653,0.05109139958548037
C KAK / U LAK,0.35526881720513165,0.12340791177411284,Inf,-2.9792318961318083,0.11455506691884765
U DRO / C LAK,2.014162348877325,0.48138953531728196,Inf,2.9296925334150226,0.13040370043912763
U DRO / U EUC,1.6513012923590027,0.28299858204342004,Inf,2.9266319268990864,0.13143537025950058
U KAK / U LAK,2.0271794871794597,0.516229107066724,Inf,2.774925055129419,0.1906595063268991
C BUB / U LAK,0.4066216216218198,0.13353764000600465,Inf,-2.7401075400283794,0.2065655885047477
C DRO / U EUC,0.5738916256157616,0.11868631793172754,Inf,-2.685149096618541,0.23346533465154784
C LAK / U LAK,2.167346938775497,0.6472611448100573,Inf,2.590069139308116,0.28511330984844996
U BUB / U KAK,0.5886298842864341,0.12509793235886604,Inf,-2.4936377256944664,0.3437298012433876
U LAK / U TOM,0.5350111282314567,0.1361928941521901,Inf,-2.457045934614683,0.3674538447459992
U BUB / C LAK,0.5505617977528059,0.14514896996392074,Inf,-2.2637716919478383,0.5027841838784173
U BUB / U TOM,0.6384065372829217,0.13560550688045647,Inf,-2.1127761533617537,0.6135424480222614
U EUC / U TOM,1.4143581740147544,0.2643662574376928,Inf,1.8547140398989224,0.7872311037593541
U DRO / C TOM,0.7669657525590571,0.12891126398524308,Inf,-1.5784973162913352,0.9171182478593438
C DRO / U LAK,1.5171428571428045,0.4088801173233526,Inf,1.5466365593741875,0.9274977214160713
U EUC / U KAK,1.3040804560886323,0.24391874399696353,Inf,1.4194520572161984,0.9600244022113928
C DRO / U KAK,0.748400852878449,0.16083307478606898,Inf,-1.3485966722339253,0.972619809848992
C DRO / C LAK,0.6999999999999799,0.1858912465812422,Inf,-1.3431103688252923,0.9734509276752805
U BUB / C DRO,0.7865168539326024,0.18098719699107826,Inf,-1.0435823493867395,0.9966837528688354
C EUC / C TOM,0.8394433637587747,0.1451336823760223,Inf,-1.0122822156230071,0.9974702849219057
C DRO / U TOM,0.8116883116882676,0.17434422929024335,Inf,-0.9713526445024202,0.9982570982699621
U EUC / C LAK,1.2197424892703554,0.29708558810932345,Inf,0.8155540611395848,0.9996620551793938
U BUB / U LAK,1.1932584269662783,0.31933267188487985,Inf,0.6602335186976689,0.9999580929207782
C LAK / U TOM,1.1595547309832726,0.2903265017487249,Inf,0.5912513481427416,0.9999863791621875
U DRO / C EUC,0.9136599152143097,0.1550817254671556,Inf,-0.5319815852896924,0.9999954304720726
U KAK / U TOM,1.0845635845635484,0.2123928660245553,Inf,0.41452595425287325,0.9999996696574005
C BUB / C KAK,1.144546332044214,0.4239682879248878,Inf,0.364469010913542,0.9999999164209685
U KAK / C LAK,0.9353276353276282,0.2342735134089307,Inf,-0.2669294846418554,0.999999997098587
