(Intercept),Site,Strata,Site:Strata,df,logLik,AICc,delta,weight
-2.8571461102673323,+,+,+,12,-923.8884070682329,1872.2137889263818,0,1
-1.9169226119198794,+,NA,NA,6,-1017.6865071079371,2047.4896808825408,175.27589195615906,8.69608260256014e-39
-1.9438160062638443,+,+,NA,7,-1017.4893082580995,2049.134388421623,176.92059949524128,3.82102564160341e-39
-1.225501734623325,NA,NA,NA,1,-1078.501515833613,2159.0085489086055,286.7947599822237,5.28821556952157e-63
-1.263243047641992,NA,+,NA,2,-1078.1486220313125,2160.31381864826,288.1000297218784,2.75342611898359e-63
