contrast,odds.ratio,SE,df,z.ratio,p.value
U BUB / C KAK,3.2152117545167194,1.0627349680149534,Inf,3.5333588544599728,0.021016511020451767
C BUB / C DRO,0.32248157248238657,0.10455060963413522,Inf,-3.4907055134747793,0.024315022929143004
C BUB / U BUB,0.3382601351359887,0.10631824016257393,Inf,-3.448643495892444,0.028007446581467366
U DRO / U EUC,1.836386192804506,0.3326696533563415,Inf,3.355144688570969,0.03801965674468222
U BUB / U EUC,0.49163897241124666,0.10672266041887933,Inf,-3.2708039142190253,0.04957011252109644
C KAK / U LAK,0.32989247312042247,0.11717302663932579,Inf,-3.1222797166892846,0.07715550110559133
U EUC / U LAK,2.1574248927038675,0.5459012741519901,Inf,3.038785865537643,0.09754118049259275
C BUB / U LAK,0.35878378378469006,0.12203639593832506,Inf,-3.013576867365971,0.10447989618397713
U DRO / C LAK,2.1092068553208474,0.5298528566717652,Inf,2.9708745026404455,0.11711810364402586
U EUC / U TOM,1.9045064377682561,0.4145369576819858,Inf,2.9597521121792894,0.1205980593354875
C DRO / U EUC,0.5156941649899391,0.11921493714322222,Inf,-2.8646915414100587,0.1536728867352446
C EUC / U EUC,1.530113194504439,0.29697292351034277,Inf,2.1915161966209773,0.5558202263793834
C EUC / C LAK,1.7574327512977614,0.4581424744963875,Inf,2.162942059585811,0.5768370326646779
U BUB / C LAK,0.5646787669259555,0.15710956413841068,Inf,-2.054062950150445,0.6558118641986068
C LAK / U LAK,1.8783673469387885,0.5768616817009705,Inf,2.052707583628624,0.656774990768741
U EUC / C TOM,1.6076661240195045,0.3918059429855852,Inf,1.9481413867835886,0.7286011893129104
C LAK / U TOM,1.6581632653061438,0.4621060948306403,Inf,1.81462789965847,0.810358936482819
C DRO / C LAK,0.5923076923076891,0.17139153099052487,Inf,-1.8099420113289666,0.8129751098122774
U KAK / U LAK,1.5430769230769303,0.40689000026260075,Inf,1.645047745153887,0.8923594911399467
U BUB / U KAK,0.6873760740251141,0.15768752579025924,Inf,-1.6341129442776674,0.8967170702751792
U EUC / U KAK,1.398131784902799,0.2874094453211948,Inf,1.6303067569728449,0.8982070252065693
C DRO / U KAK,0.7210084033613421,0.1750525884476182,Inf,-1.3472813268286628,0.972820852880532
U KAK / U TOM,1.3621794871795019,0.31324604193073746,Inf,1.3440890766071494,0.9733040926533855
C LAK / C TOM,1.399718508092872,0.4191784819729362,Inf,1.1228747984312093,0.9937397013341316
U LAK / C TOM,0.7451782583284469,0.21937676320792399,Inf,-0.9991059735959655,0.9977509097653392
U DRO / C EUC,1.200163621488971,0.22043013684995866,Inf,0.9934183031871637,0.9978636703859659
U BUB / C TOM,0.790391321193321,0.20876511367727454,Inf,-0.8905772868613412,0.9992191949081854
U KAK / C LAK,0.8214990138067043,0.22126701555371717,Inf,-0.7300087946957167,0.999885566450297
C DRO / C TOM,0.8290640394088503,0.22868291686884537,Inf,-0.6796073250821757,0.9999439287855578
C TOM / U TOM,1.1846405228758494,0.313468297781771,Inf,0.6403350771603957,0.9999692538100258
U KAK / C TOM,1.1498673740052858,0.29293433584815776,Inf,0.5481606615118395,0.9999937622315516
U EUC / C LAK,1.1485638824694566,0.2973914973945656,Inf,0.5349524115614336,0.9999951579432184
U LAK / U TOM,0.8827683615819262,0.24119085872309162,Inf,-0.4563794209971199,0.999999084290667
C DRO / U LAK,1.11257142857143,0.31608515063937637,Inf,0.37547596227709745,0.9999998850564944
U BUB / U TOM,0.9363295880149893,0.22500239299358016,Inf,-0.27377045717080434,0.9999999961824042
C BUB / C KAK,1.0875779625736448,0.4219913558110869,Inf,0.21636845768565086,0.9999999997045028
U BUB / U LAK,1.0606741573033736,0.2893036854418719,Inf,0.21596232541960989,0.9999999997104929
U BUB / C DRO,0.9533537623425276,0.24082375256757743,Inf,-0.18910501750599126,0.9999999999320361
C DRO / U TOM,0.9821428571428644,0.24859068870177925,Inf,-0.07118829175885776,1
