(Intercept),Site,Strata,Site:Strata,df,logLik,AICc,delta,weight
-4.997212273764104,+,+,+,12,-357.0627550053313,738.5624848005787,0,0.9999999960998
-4.130241307441448,+,+,NA,7,-381.5671934840031,777.2901588734304,38.727674072851755,3.89396841850431e-09
-4.3873694789566295,+,NA,NA,6,-389.0242366491769,790.1651399650204,51.602655164441785,6.23197645080599e-12
-2.494123304892919,NA,+,NA,2,-443.5059718370458,891.028518259727,152.46603345914832,7.80587322819201e-34
-2.7330366288848147,NA,NA,NA,1,-448.53480657523653,899.0751303918523,160.51264559127367,1.39676026041994e-35
